psydonym,aufgabenname,stufenname,begonnen_tag,dauer_begonnen_bis_abgabe_in_sekunden,dauer_wiederbetreten_bis_abgabe_in_sekunden,kursversuchnummer,aufgaben_versuchnummer,punktzahl,studentenantwort,feedbacknamen,erwartete_antwort,feedbackmeldungen,net_time,submission_nr,cleaned_feedback
S11,Übungsaufgabe 1,Wochentage,10.10.2024,8,0,1,1,100,NA,NA,NA,NA,8,1,NA
S11,Übungsaufgabe 10,#1,10.10.2024,22,0,1,1,100,NA,NA,NA,NA,22,2,NA
S11,Übungsaufgabe 2,#1,10.10.2024,50,0,1,1,100,NA,NA,NA,NA,50,3,NA
S11,Übungsaufgabe 4,#1,10.10.2024,72,0,1,1,100,NA,NA,NA,NA,72,4,NA
S11,Übungsaufgabe 6,#1,10.10.2024,118,0,1,1,100,NA,NA,NA,NA,118,5,NA
S11,Übungsaufgabe 9,#1,10.10.2024,136,0,1,1,0,NA,NA,NA,NA,136,6,NA
S27,Übungsaufgabe 1,Wochentage,15.10.2024,8,0,1,1,100,NA,NA,NA,NA,8,7,NA
S27,Übungsaufgabe 10,#1,15.10.2024,5,0,1,1,0,NA,NA,NA,NA,5,8,NA
S27,Übungsaufgabe 2,#1,15.10.2024,45,0,1,1,100,NA,NA,NA,NA,45,9,NA
S27,Übungsaufgabe 4,#1,15.10.2024,168,0,1,1,0,NA,NA,NA,NA,168,10,NA
S27,Übungsaufgabe 6,#1,15.10.2024,113,0,1,1,100,NA,NA,NA,NA,113,11,NA
S27,Übungsaufgabe 9,#1,15.10.2024,61,0,1,1,0,NA,NA,NA,NA,61,12,NA
S40,Übungsaufgabe 1,Wochentage,10.10.2024,10,0,1,1,100,NA,NA,NA,NA,10,13,NA
S40,Übungsaufgabe 10,#1,10.10.2024,120,0,1,1,0,NA,NA,NA,NA,120,14,NA
S40,Übungsaufgabe 2,#1,10.10.2024,22,0,1,1,100,NA,NA,NA,NA,22,15,NA
S40,Übungsaufgabe 4,#1,10.10.2024,62,0,1,1,0,NA,NA,NA,NA,62,16,NA
